time_utc,label,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon
,1,263.836,261.032,278.972,470.6,53579.083,100844.317,-0.315,-0.787,4.597,0.6765805065234076,0.00024330392943063353,-0.0,0.001,31.173630642085186,0.805,47818.858,337.12472982675195,-0.001,-0.226,-0.608,-1.125,1.1185108974358975,41.425,6.18,1.0,268.779,277.202,286.605,284.848,84.15818918490326,40.751,35.237,97.21177445652174,3.314,34.56,77.627
,1,282.054,272.759,276.203,268.378,55786.179,103146.839,-0.183,-0.372,4.184,-0.231,-0.001,0.001,0.003,16.95,0.7944468408262454,47534.952,23.626,-0.001,-0.233,2.043423367593712,-1.105,0.41,27.262,4.184,1.0,277.803,294.451,281.519,273.924,57.601,42.823,35.545,76.394,3.1886087160262413,34.47,77.926
,1,301.6345762685402,262.472,300.4776422074919,299.81499398426655,54340.219,96737.157,-0.29,0.23838879046545336,5.453180193236714,0.6765805065234076,0.002,-0.0,0.001,16.627,0.7944468408262454,50457.192,27.804,0.001,-0.237,-0.605,-1.133,0.611,166.868981074579,4.504,1.0,301.0289560691872,406.538,273.001,291.839,84.15818918490326,39.98,35.758,78.844,5.896,35.698,76.586
,1,301.6345762685402,284.792,286.649,289.132,102419.705,97816.468,0.1761047693510555,0.23838879046545336,5.453180193236714,-0.218,-0.001,-0.002,-0.002,16.978,0.427,46361.022,52.232,-0.0,-0.217,-0.656,-1.134,0.828,37.311,5.106,1.0,286.904,282.485,269.849,304.0114993913573,84.15818918490326,43.041,35.569,74.924,6.92,34.714,76.179
,1,289.653,260.326,269.031,299.81499398426655,54831.745,102046.094,-0.67,-0.493,5.681,-0.211,0.00024330392943063353,0.002,0.0001823262839879154,31.173630642085186,0.42,25344.456596221018,80.837,-0.001,-0.222,-0.603,-1.09,0.823,166.868981074579,5.461412030755315,1.0,287.157,296.196,277.738,304.0114993913573,60.505,43.279,36.254,97.21177445652174,8.62,72.158,78.431
,0,288.552,261.905,276.316,285.747,54607.298,97708.497,-0.833,-0.242,5.453180193236714,-0.196,0.0,0.001,0.0001823262839879154,17.405,0.382,48084.892,128.47,0.0,-0.2,-0.534,4.100759235668789,0.87,71.016,5.754,1.0,277.471,303.45619514955536,267.669,304.0114993913573,62.458,42.167,37.711,97.21177445652174,10.934,33.555,74.807
,1,297.006,298.3190619678335,271.073,299.81499398426655,56029.897,97087.181,-0.511,0.037,5.608,-0.133,0.002,-0.001,-0.001,17.295,0.553,25344.456596221018,337.12472982675195,-0.001,-0.126,-0.399,-0.667,0.552,91.467,5.461412030755315,1.0,268.842,275.022,279.838,304.0114993913573,59.907,79.54927951657885,38.242,79.458,3.1886087160262413,35.127,79.578
,1,295.576,298.3190619678335,286.05,272.332,78694.730882662,98214.844,-0.054,0.061,5.738,-0.091,-0.001,-0.0,0.0,18.386,0.656,48448.869,304.885,0.00018991517436380773,-0.09,-0.268,-0.482,0.08,133.202,5.683,1.0,301.0289560691872,290.627,266.676,304.0114993913573,61.156,41.495,73.29326036249014,77.404,10.581,33.786,76.42
,0,294.234,298.3190619678335,300.4776422074919,274.699,57106.36,105472.586,0.354,-0.224,6.164,-0.072,-0.002,0.000466830090393749,-0.002,17.51,0.75,102498.062,362.973,0.0,-0.078,-0.194,4.100759235668789,0.42,301.522,6.469,1.0,293.508,303.45619514955536,271.657,278.529,84.15818918490326,42.361,35.203,76.646,12.175,32.773,142.776
,1,287.084,285.014,276.744,272.123,78694.730882662,103516.601,0.554,-0.63,6.883,0.065,-0.003,-0.001,0.0,19.14,0.738,47770.342,372.287,0.00018991517436380773,0.6797272583201269,0.133,0.254,1.061,436.808,7.312,1.0,275.078,303.45619514955536,270.802,304.0114993913573,84.15818918490326,42.512,73.29326036249014,115.156,3.1886087160262413,56.299,77.391
