time_utc,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon,time_local,label,_target_orig,date,new_label
,263.836,261.032,278.972,470.6,53579.083,100844.317,-0.315,-0.787,4.597,,,-0.0,0.001,,0.805,47818.858,,-0.001,-0.226,-0.608,-1.125,,41.425,6.18,,268.779,277.202,286.605,284.848,,40.751,35.237,,3.314,34.56,77.627,2022-07-01 05:30:00+05:30,1.041,2022-07-01 00:00:00,2022-07-01,0
,282.054,272.759,276.203,268.378,55786.179,103146.839,-0.183,-0.372,4.184,-0.231,-0.001,0.001,0.003,16.95,,47534.952,23.626,-0.001,-0.233,,-1.105,0.41,27.262,4.184,,277.803,294.451,281.519,273.924,57.601,42.823,35.545,76.394,,34.47,77.926,2022-07-01 06:30:00+05:30,1.002,2022-07-01 01:00:00,2022-07-01,0
,,262.472,,,54340.219,96737.157,-0.29,,,,0.002,-0.0,0.001,16.627,,50457.192,27.804,0.001,-0.237,-0.605,-1.133,0.611,,4.504,,,406.538,273.001,291.839,,39.98,35.758,78.844,5.896,35.698,76.586,2022-07-01 07:30:00+05:30,1.007,2022-07-01 02:00:00,2022-07-01,0
,,284.792,286.649,289.132,102419.705,97816.468,,,,-0.218,-0.001,-0.002,-0.002,16.978,0.427,46361.022,52.232,-0.0,-0.217,-0.656,-1.134,0.828,37.311,5.106,,286.904,282.485,269.849,,,43.041,35.569,74.924,6.92,34.714,76.179,2022-07-01 08:30:00+05:30,1.041,2022-07-01 03:00:00,2022-07-01,0
,289.653,260.326,269.031,,54831.745,102046.094,-0.67,-0.493,5.681,-0.211,,0.002,,,0.42,,80.837,-0.001,-0.222,-0.603,-1.09,0.823,,,,287.157,296.196,277.738,,60.505,43.279,36.254,,8.62,72.158,78.431,2022-07-01 09:30:00+05:30,0.982,2022-07-01 04:00:00,2022-07-01,0
,288.552,261.905,276.316,285.747,54607.298,97708.497,-0.833,-0.242,,-0.196,0.0,0.001,,17.405,0.382,48084.892,128.47,0.0,-0.2,-0.534,,0.87,71.016,5.754,,277.471,,267.669,,62.458,42.167,37.711,,10.934,33.555,74.807,2022-07-01 10:30:00+05:30,,2022-07-01 05:00:00,2022-07-01,0
,297.006,,271.073,,56029.897,97087.181,-0.511,0.037,5.608,-0.133,0.002,-0.001,-0.001,17.295,0.553,,,-0.001,-0.126,-0.399,-0.667,0.552,91.467,,,268.842,275.022,279.838,,59.907,,38.242,79.458,,35.127,79.578,2022-07-01 11:30:00+05:30,0.996,2022-07-01 06:00:00,2022-07-01,0
,295.576,,286.05,272.332,,98214.844,-0.054,0.061,5.738,-0.091,-0.001,-0.0,0.0,18.386,0.656,48448.869,304.885,,-0.09,-0.268,-0.482,0.08,133.202,5.683,,,290.627,266.676,,61.156,41.495,,77.404,10.581,33.786,76.42,2022-07-01 12:30:00+05:30,1.001,2022-07-01 07:00:00,2022-07-01,0
,294.234,,,274.699,57106.36,105472.586,0.354,-0.224,6.164,-0.072,-0.002,,-0.002,17.51,0.75,102498.062,362.973,0.0,-0.078,-0.194,,0.42,301.522,6.469,,293.508,,271.657,278.529,,42.361,35.203,76.646,12.175,32.773,142.776,2022-07-01 13:30:00+05:30,0.967,2022-07-01 08:00:00,2022-07-01,0
,287.084,285.014,276.744,272.123,,103516.601,0.554,-0.63,6.883,0.065,-0.003,-0.001,0.0,19.14,0.738,47770.342,372.287,,,0.133,0.254,1.061,436.808,7.312,1.0,275.078,,270.802,,,42.512,,115.156,,56.299,77.391,2022-07-01 14:30:00+05:30,0.977,2022-07-01 09:00:00,2022-07-01,0
,284.295,272.538,389.964,283.873,58462.761,96641.432,,-0.381,7.45,0.061,-0.001,0.0,0.0,,0.703,48214.772,277.598,,,0.135,0.237,,,7.907,,285.404,,280.476,287.403,57.197,40.995,,165.146,13.657,34.777,77.257,2022-07-01 15:30:00+05:30,0.987,2022-07-01 10:00:00,2022-07-01,0
,279.695,284.268,287.666,272.019,53479.803,98047.367,1.058,-0.59,,,0.002,-0.0,-0.002,19.642,0.715,47309.672,335.522,-0.001,,0.736,1.362,,293.394,7.876,,,281.818,264.68,,57.799,42.96,36.56,79.67,14.134,34.895,77.999,2022-07-01 16:30:00+05:30,1.019,2022-07-01 11:00:00,2022-07-01,0
,,524.877,281.918,390.223,,96540.375,0.797,-0.641,7.632,0.052,-0.0,-0.0,,19.664,,48341.211,290.037,-0.0,0.051,,,1.012,,,,294.953,286.948,279.218,287.615,61.899,41.005,35.011,79.515,14.78,33.714,78.167,2022-07-01 17:30:00+05:30,0.956,2022-07-01 12:00:00,2022-07-01,0
,,,272.168,288.476,54479.455,103084.783,0.606,-0.494,,0.057,-0.001,0.002,-0.0,19.121,0.749,81792.306,219.852,-0.0,0.058,0.293,0.579,0.754,317.406,,,281.816,297.694,,,59.605,40.261,37.877,80.913,15.166,35.786,74.696,2022-07-01 18:30:00+05:30,1.957,2022-07-01 13:00:00,2022-07-01,0
,282.616,,272.316,294.806,58427.289,102137.922,0.398,-0.144,6.794,-0.079,,,-0.001,,,46726.21,200.781,-0.001,-0.079,-0.1,0.074,0.86,295.514,6.646,,276.044,278.31,284.833,283.002,58.773,41.522,,144.923,12.146,35.059,,2022-07-01 19:30:00+05:30,,2022-07-01 14:00:00,2022-07-01,0
,282.209,282.436,,292.356,96110.014,101054.329,0.252,0.149,,-0.107,,0.001,0.001,,0.584,48017.057,154.738,,-0.108,-0.214,-0.108,0.507,423.693,6.303,,271.675,283.567,277.747,288.117,61.41,40.25,37.941,115.916,9.216,34.127,76.263,2022-07-01 20:30:00+05:30,0.992,2022-07-01 15:00:00,2022-07-01,0
,275.414,260.315,,287.575,83919.037,100468.609,0.061,,5.599,-0.152,0.001,-0.001,,,,49818.471,150.387,-0.0,-0.154,-0.365,,0.195,201.729,5.958,,271.376,290.515,271.453,290.566,58.24,39.78,34.759,74.41,8.707,34.15,78.312,2022-07-01 21:30:00+05:30,,2022-07-01 16:00:00,2022-07-01,0
,269.144,284.12,288.263,,,103717.53,0.001,,5.006,-0.195,-0.001,0.0,0.001,28.528,0.416,48553.03,150.482,,-0.185,-0.458,-0.65,,176.643,9.783,,292.354,294.727,,,62.288,42.3,34.952,,9.05,34.428,,2022-07-01 22:30:00+05:30,0.96,2022-07-01 17:00:00,2022-07-01,0
,291.914,279.258,,279.056,56592.967,100201.619,,0.109,4.391,-0.215,-0.001,0.0,0.001,16.682,0.421,50973.339,286.929,-0.001,-0.204,,-0.835,0.151,228.295,,,282.887,,271.419,297.919,59.909,,37.922,76.902,,32.939,79.523,2022-07-01 23:30:00+05:30,,2022-07-01 18:00:00,2022-07-01,0
,293.084,278.233,401.643,270.078,54231.787,104913.798,0.219,-0.009,3.746,-0.203,-0.0,-0.001,,17.227,0.439,47916.788,,-0.0,-0.199,-0.559,,0.228,265.215,3.809,,277.041,279.54,288.505,,53.259,33.171,,74.018,7.413,35.326,77.576,2022-07-02 00:30:00+05:30,0.987,2022-07-01 19:00:00,2022-07-02,0
,282.173,267.312,,276.674,53836.241,99967.095,0.208,-0.116,3.768,,-0.0,,-0.001,16.562,,50779.716,145.121,-0.0,,-0.579,,0.232,286.54,3.83,,281.437,287.243,289.137,277.284,54.238,34.814,28.899,76.315,,33.979,122.395,2022-07-02 01:30:00+05:30,1.034,2022-07-01 20:00:00,2022-07-02,0
,,284.212,284.751,269.429,,96790.459,0.163,-0.176,3.855,-0.216,0.001,0.001,0.001,16.268,0.484,46568.717,129.712,0.0,-0.223,-0.579,-1.003,0.24,,3.763,,291.721,281.771,284.69,282.301,56.096,32.451,26.983,73.304,10.1,,76.939,2022-07-02 02:30:00+05:30,1.028,2022-07-01 21:00:00,2022-07-02,0
,,281.115,276.613,273.591,54104.938,97933.488,,,3.988,-0.201,,,0.001,17.463,0.501,49597.74,51.214,,-0.21,,-0.948,0.341,332.528,3.801,,290.22,281.769,,282.156,,31.945,27.566,,4.923,34.123,75.251,2022-07-02 03:30:00+05:30,,2022-07-01 22:00:00,2022-07-02,0
,281.324,271.959,,272.831,54681.661,102551.088,-0.283,-0.253,3.798,-0.206,,-0.001,,,0.504,48206.703,34.51,-0.001,-0.214,-0.591,-0.998,,40.004,6.049,,285.715,292.313,,280.427,53.935,33.687,,72.564,4.198,33.192,73.555,2022-07-02 04:30:00+05:30,1.021,2022-07-01 23:00:00,2022-07-02,0
,284.465,260.616,286.165,507.063,57675.108,96928.238,-0.248,-0.216,3.911,-0.232,0.001,-0.001,,16.969,,49937.786,21.146,0.0,-0.22,-1.207,-1.05,0.33,75.006,3.903,,277.056,,269.158,278.922,51.805,32.975,27.286,72.577,4.301,35.049,74.423,2022-07-02 05:30:00+05:30,0.96,2022-07-02 00:00:00,2022-07-02,0
,,,399.003,275.301,55834.339,156947.647,-0.352,,3.946,-0.237,0.0,0.001,-0.002,16.969,0.496,50924.325,16.301,-0.001,,-0.647,-1.088,0.424,55.792,4.124,,277.064,300.185,267.717,,56.021,,26.868,72.743,4.301,35.667,73.927,2022-07-02 06:30:00+05:30,1.008,2022-07-02 01:00:00,2022-07-02,0
,269.441,269.867,272.697,,54640.849,100873.371,-0.542,-0.336,4.559,-0.241,0.001,-0.001,,16.003,0.403,49069.648,13.794,-0.001,-0.225,-0.632,-1.106,,55.333,4.508,,279.411,276.027,278.942,,56.363,,26.344,,6.236,,73.939,2022-07-02 07:30:00+05:30,0.979,2022-07-02 02:00:00,2022-07-02,0
,276.625,263.854,271.944,371.845,57247.795,105187.801,-0.562,-0.362,4.509,-0.337,,0.002,0.001,17.217,0.324,47341.327,54.133,0.0,,-0.631,-1.134,,57.445,4.814,,282.825,290.511,275.79,292.768,,33.542,27.305,73.557,8.13,33.571,73.707,2022-07-02 08:30:00+05:30,0.949,2022-07-02 03:00:00,2022-07-02,0
,294.555,265.216,296.542,272.946,55975.532,97730.379,,-0.335,5.274,-0.236,-0.001,0.001,-0.001,,0.26,46505.11,42.372,0.0,-0.236,-0.624,-1.116,0.707,60.114,5.123,,616.456,274.298,360.777,294.299,51.765,32.485,27.099,72.423,9.633,35.378,75.949,2022-07-02 09:30:00+05:30,,2022-07-02 04:00:00,2022-07-02,0
,291.168,266.504,271.071,287.873,54477.5,96266.49,-0.514,-0.12,,,-0.0,-0.001,0.001,17.062,0.209,47958.702,92.057,-0.0,,-0.51,,0.57,77.753,5.486,,286.206,535.062,,,54.897,34.299,27.795,75.17,,,78.915,2022-07-02 10:30:00+05:30,0.981,2022-07-02 05:00:00,2022-07-02,0
,288.09,268.473,285.148,274.542,58313.08,,,0.171,5.747,,0.0,,,16.764,0.404,49641.649,,0.0,,-0.422,-0.724,,122.258,5.689,,,301.208,282.987,301.899,53.86,34.082,,76.929,16.05,34.949,79.692,2022-07-02 11:30:00+05:30,0.954,2022-07-02 06:00:00,2022-07-02,0
,284.805,259.338,292.965,293.439,55072.949,,0.327,0.007,5.733,-0.082,-0.001,0.0,-0.001,17.293,0.774,50781.939,,0.0,-0.079,-0.246,-0.458,0.329,266.086,5.484,,271.392,,,,51.506,33.182,27.119,77.349,16.405,33.378,80.566,2022-07-02 12:30:00+05:30,0.965,2022-07-02 07:00:00,2022-07-02,0
,295.494,274.868,295.72,,,102804.771,0.843,-0.413,6.408,-0.072,0.0,0.0,0.0,17.296,,48511.696,331.376,-0.0,-0.075,-0.369,-0.351,0.944,295.656,,,290.507,431.349,290.845,293.865,56.055,,26.273,75.921,17.219,,75.774,2022-07-02 13:30:00+05:30,0.983,2022-07-02 08:00:00,2022-07-02,0
,281.068,277.493,288.532,510.127,55568.063,97051.048,0.977,-0.744,7.531,0.015,,,0.0,19.048,0.579,47624.25,507.36,-0.001,0.013,0.028,,1.205,,7.66,,296.711,291.822,275.439,299.338,,33.062,28.507,127.149,,32.531,78.702,2022-07-02 14:30:00+05:30,0.983,2022-07-02 09:00:00,2022-07-02,0
